epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,4075.92,0.39579,0.27931,0.8381,0.99143,0.98664,0.99216,0.96881,0.26633,0.20384,0.77903,0.00051304,0.00051304,0.00051304
90,4121.22,0.39592,0.2784,0.83727,0.98821,0.99393,0.99361,0.9703,0.26516,0.20002,0.77541,0.00050854,0.00050854,0.00050854
91,4166.78,0.39541,0.27715,0.83725,0.99168,0.99147,0.9935,0.96854,0.27406,0.20148,0.7773,0.00050404,0.00050404,0.00050404
92,4212.35,0.39631,0.27595,0.83662,0.99168,0.99028,0.99394,0.97224,0.25899,0.1964,0.77592,0.000499541,0.000499541,0.000499541
93,4259.7,0.39228,0.27545,0.83577,0.99411,0.98831,0.99378,0.96956,0.26655,0.20049,0.7825,0.000495041,0.000495041,0.000495041
94,4305.09,0.38608,0.27213,0.83502,0.99246,0.98602,0.9932,0.96873,0.26328,0.20169,0.77906,0.000490542,0.000490542,0.000490542
95,4351.03,0.38493,0.27365,0.83502,0.99199,0.99153,0.99366,0.97287,0.25972,0.19618,0.7749,0.000486042,0.000486042,0.000486042
96,4396.55,0.38894,0.27193,0.83582,0.99426,0.98821,0.99333,0.97189,0.25492,0.19531,0.77606,0.000481543,0.000481543,0.000481543
97,4443.69,0.38238,0.27101,0.8336,0.99335,0.98845,0.99303,0.97105,0.25938,0.1977,0.77548,0.000477043,0.000477043,0.000477043
98,4488.99,0.38846,0.2705,0.83659,0.99115,0.99067,0.99347,0.97327,0.24759,0.19337,0.77348,0.000472544,0.000472544,0.000472544
99,4534.49,0.38196,0.26819,0.83603,0.98725,0.99261,0.99355,0.97245,0.25298,0.19382,0.7753,0.000468044,0.000468044,0.000468044
100,4580.29,0.38409,0.27199,0.83439,0.99106,0.99212,0.99367,0.97162,0.2534,0.19343,0.77606,0.000463545,0.000463545,0.000463545
101,4625.9,0.37664,0.26585,0.8333,0.99051,0.9895,0.99322,0.97396,0.25183,0.19299,0.77318,0.000459045,0.000459045,0.000459045
102,4671.41,0.37902,0.26728,0.83196,0.99119,0.99196,0.9941,0.97579,0.24666,0.18888,0.77387,0.000454545,0.000454545,0.000454545
103,4716.89,0.37359,0.26167,0.83053,0.99449,0.98992,0.99401,0.97591,0.24429,0.18564,0.77334,0.000450046,0.000450046,0.000450046
104,4762.42,0.37679,0.266,0.83131,0.98903,0.9938,0.99354,0.97486,0.24686,0.18892,0.77505,0.000445546,0.000445546,0.000445546
105,4808.14,0.37558,0.26211,0.83088,0.99422,0.98928,0.99375,0.97371,0.24828,0.1888,0.77302,0.000441047,0.000441047,0.000441047
106,4854.22,0.37867,0.26455,0.82958,0.99214,0.99188,0.99344,0.97551,0.24221,0.18726,0.77138,0.000436547,0.000436547,0.000436547
107,4899.68,0.36988,0.26006,0.83154,0.99344,0.99458,0.99426,0.97673,0.24127,0.18379,0.77173,0.000432048,0.000432048,0.000432048
108,4945.25,0.36819,0.26034,0.82784,0.99558,0.99384,0.99437,0.97713,0.241,0.18296,0.77233,0.000427548,0.000427548,0.000427548
109,4990.85,0.36622,0.25841,0.82979,0.99137,0.99557,0.99416,0.97617,0.24268,0.18424,0.77107,0.000423049,0.000423049,0.000423049
110,5036.53,0.36139,0.25612,0.82855,0.99285,0.99298,0.99389,0.97664,0.23985,0.18411,0.76943,0.000418549,0.000418549,0.000418549
111,5084.47,0.36313,0.25731,0.82854,0.98923,0.99476,0.99387,0.97664,0.24057,0.18453,0.77009,0.000414049,0.000414049,0.000414049
112,5130.16,0.36662,0.25575,0.82809,0.99059,0.99578,0.9941,0.97732,0.23665,0.18349,0.76883,0.00040955,0.00040955,0.00040955
113,5175.83,0.3597,0.25658,0.82948,0.99167,0.99712,0.99396,0.97647,0.24655,0.18543,0.77117,0.00040505,0.00040505,0.00040505
114,5221.55,0.36688,0.25914,0.83067,0.99029,0.99366,0.99366,0.97739,0.23901,0.18318,0.76939,0.000400551,0.000400551,0.000400551
115,5267.29,0.36253,0.25529,0.82751,0.99318,0.99483,0.99407,0.97664,0.23465,0.18058,0.76926,0.000396051,0.000396051,0.000396051
116,5313.19,0.35448,0.25302,0.82937,0.99449,0.98825,0.99379,0.97659,0.23538,0.18223,0.76893,0.000391552,0.000391552,0.000391552
117,5359.01,0.35736,0.25142,0.82767,0.98916,0.99478,0.99381,0.97733,0.23641,0.18141,0.76876,0.000387052,0.000387052,0.000387052
118,5404.57,0.35952,0.25217,0.82723,0.99412,0.99116,0.99362,0.97714,0.23957,0.18337,0.76961,0.000382553,0.000382553,0.000382553
119,5452.01,0.35202,0.24944,0.82598,0.993,0.99479,0.99403,0.97818,0.23447,0.17894,0.76915,0.000378053,0.000378053,0.000378053
120,5497.47,0.35014,0.2465,0.82676,0.99329,0.99326,0.99424,0.97898,0.22979,0.17779,0.7683,0.000373554,0.000373554,0.000373554
121,5547.56,0.34898,0.24601,0.82469,0.99366,0.99282,0.99412,0.97961,0.22794,0.17765,0.76654,0.000369054,0.000369054,0.000369054
122,5593.26,0.34849,0.24701,0.82588,0.99401,0.99218,0.99417,0.97967,0.23148,0.1784,0.76664,0.000364554,0.000364554,0.000364554
123,5638.9,0.34811,0.24468,0.82585,0.99152,0.99588,0.99441,0.97933,0.23147,0.17738,0.76686,0.000360055,0.000360055,0.000360055
